category,simple_explanation,source
Accuracy,"Accuracy, in the context of generative AI, means the production of correct and up-to-date information, devoid of hallucinations, misinformation, or any other misleading elements. For more information on the importance of AI accuracy, check out: Generative AI content: The need for accuracy",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Annotation,"The process of tagging language data by identifying and highlighting any grammatical, semantic, or phonetic elements in language data.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Adaptive learning,Used in generative AI to define a model that adjusts learning processes based on feedback it receives. Adaptive learning models enhance their ability to generate accurate outputs.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Adversarial example,Inputs deliberately designed to confuse or tick a generative AI model into producing incorrect outputs. They are often indiscernible to the human eye.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Adversarial network,Often referred to as Generative Adversarial Networks (GANs). That means two neural networks (a generator and a discriminator) are trained simultaneously and competitively to improve the quality of generated outputs.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Algorithm,An algorithm is an exact list of instructions that conduct specified actions step-by-step in software- or hardware-based routines. Algorithms are often used as specifications for performing data processing and play a major role in automated systems.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Algorithmic bias,"Systematic errors in an algorithm that generates unfair outcomes, often privileging one group of users over another.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Algorithmic creativity,"Describes the capability of generative AI systems to create art, music, literature, or other creative works without direct human input.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Application programming interface (API),"Defined rules that enable applications to communicate with each other. It acts as an intermediary layer that processes data transfers between systems, letting companies open their application data and functionality to third parties.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Artificial intelligence (AI),The simulation of human intelligence in machines that are programmed to think like humans. Check out: An ultimate guide to artificial intelligence.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Attention mechanism,"A technique used in generative models, especially language generation, which helps focus on parts of input date, improving the relevance and coherence of generated content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Autoencoder,"A neural network used in generative AI that is trained to encode input data as representations, then decode representations back to the original data.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Auto-classification,"Using ML, NLP, and alternative AI-guided techniques to classify text in an increasingly fast, cost-effective, and accurate manner.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Autonomous generation,"The ability of a generative AI system to create content or make decisions independently, without specific guidance or rules set by humans. B",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Batch normalisation,"A supervised learning method of training neural networks. It works by standardising inputs to a network, which stabilises learning, saves time, and improves accuracy. Batch normalisation can be quite complex, so for more details check out: Batch normalisation guide.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Bias,Systematic errors in data or the model that can lead to skewed or prejudiced outputs. Platforms must address bias to ensure fairness and accuracy in generated content.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Bidirectional encoder representations from transformers (BERT),A transformer-based ML technique for NLP. BERT is often the baseline of NLP experiments after being introduced in 2018 by researchers at Google. BERT was pretrained on language modelling and next sentence prediction.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Big data,"Describes large volumes of data, structured and unstructured, that are typically too large or complex for traditional data-processing software. For more, check out: A guide to using big data.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Binary classification,"A machine learning algorithm that categorises new observations into two classes, such as taking a generated image and determining whether real or fake.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Blending,"The technique of combining features or aspects from multiple sources or datasets to create new, hybrid outputs. Typically used in generative AI, blending can lead to deeper and more complex forms of analyses. Altair provide a great explanation: What is Data Blending? C",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Categorisation,Categorisation is an NLP function that assigns a category to a document.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Chatbot,"A computer programme designed to simulate conversation with human users, typically employed on the internet and used to streamline customer services. For more information, check out: How to humanise a chatbot.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Clustering,"The grouping of similar data points in a dataset. Often used in generative AI to understand underlying patterns in the data, which can inform the generation of new, similar data.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Composite AI,The combined application of AI techniques to broaden the level of knowledge representations and to solve a wider range of problems in a more efficient manner. Check out Gartner’s helpful definition for more detail: Composite AI.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Computational creativity,"The study and development of AI systems that can perform tasks traditionally considered to require creativity, such as composing music, painting, writing poetry, and so on. The field encompasses both the theoretical and practical aspects of creativity in AI.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Computational linguistics,"Computational linguistics is an interdisciplinary field concerned with the computational modelling of natural language. Computational linguists apply skills to develop and analyse computer applications of translation, voice recognition, text analysis, and so on.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Computational semantics,Computational semantics studies the automation of the construction and reasoning of meaning representations of natural language expressions. Semantics is concerned with computing the meaning of linguistic objects and combines insights from computational linguistics.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Computer vision,"A field of computer science that focuses on enabling computers to identify and understand objects and people in images and videos. For a more detailed explanation, check out Microsoft’s helpful guide: What Is Computer Vision?",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Conditional generation,"A process in generative AI where the model generates data based on certain conditions or parameters, such as generating images of a specific category.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Content generation,"The use of AI, particularly generative models, to create content, including text, images, music, and videos. For a guide, check out: How to master generative AI content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Contextual embedding,"The representation of words or features in the context of their surrounding words or features, improving the relevance and coherence of the generated content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Conversational AI,"Used by developers to build conversational user interfaces, chatbots, and virtual assistants. They offer integration into chat interfaces such as messaging platforms, SMS, and websites.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Convolutional neural network (CNN),"A type of deep neural network commonly used in generative AI, especially for image generation and analysis. CNNs can detect patterns and features in images.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Creativity metrics,"Measures used to assess the novelty, quality, and diversity of the content produced by AI models.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Curriculum learning,"A training strategy in generative AI where models are gradually exposed to increasingly complex data, improving their ability to generate complex outputs.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Cycle-consistency loss,"A concept used in Generative Adversarial Networks, particularly in tasks like image-to-image translation. It ensures that the original input can be recovered after a series of transformations. D",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Data,"Values that convey information, such as quantity, quality, facts, or other meaning. For more information, and to understand the analysis of data, check out: Data analytics 101.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Data augmentation,The process of increasing the amount and diversity of data by modifying existing datasets. This is particularly useful in generative AI for improving model performance and robustness.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Dataset,A collection of data derived from a single source or collected for a single project.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Decoder,"In the context of generative models, a decoder is a network or a part of a network that converts compressed data (like feature vectors) back into a more readable or usable format.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Deepfake,"Videos in which the face and/or voice of a person, most commonly a public figure, has been manipulated by AI software in a way that makes the video seem authentic. See: What are deepfakes and how to protect against them.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Deep learning (DL),"A subset of machine learning involving neural networks with many layers. DL is integral to generative AI models, especially in processing complex inputs like images and natural language.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Denoising,"A technique in generative AI where the model learns to remove noise or imperfections from data, often used in image and audio processing.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Did you mean (DYM),DYM is an natural language processing function [JS1] used in search applications to identify typos in a query or suggest similar queries that could produce results in the search database being used.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Digital twin,A digital twin uses real world data to create simulations that can predict how a product or process will perform.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Discriminator,"In Generative Adversarial Networks, the discriminator is the part of the network that distinguishes between real and generated data, helping to improve the quality of the generated output.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Disentangled representation,"A representation where individual dimensions capture single, independent factors of variation in the data, aiding in more controlled generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Distribution matching,"A technique in generative AI where the model learns to generate data that matches the distribution of the training dataset, ensuring realistic and diverse output.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Domain adaptation,"The ability of a generative model to adapt to new, unseen domains of data, maintaining performance even when the new data differs from the training data.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Dynamic time warping (DTW),"An algorithm in generative AI for measuring similarity between two temporal sequences, which may vary in speed. It is particularly useful in speech recognition. E",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Elman network,"A type of recurrent neural network where connections between units form a directed cycle. The architecture is useful in generative models for tasks that involve sequential data, like language modelling.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Embedding,"A representation of data where elements with similar meanings are mathematically close to each other. In generative AI, embeddings are crucial for handling complex data like text and images.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Encoder,"In generative AI, an encoder is a part of a model, often a neural network, which compresses data into a more compact representation, typically used in autoencoder architectures.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Encryption,The process of protecting information or data by using mathematical models to scramble it in such a way that only the parties who have the key to unscramble it can gain access.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Ensemble learning,"A technique where multiple models are trained and predictions are combined. In generative AI, ensemble learning can improve the quality and reliability of the generated content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Entropy,The measure of randomness or uncertainty in the model’s predictions. It is a key concept in understanding and controlling the diversity of generated content.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Epoch,"An epoch in machine learning, including generative AI, is one complete pass through an entire training dataset. More epochs lead to better learning but can increase the potential of overfitting.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Evolutionary algorithm,"A subset of AI algorithms inspired by the process of natural selection. These algorithms iteratively select, mutate, and breed candidate solutions. They are sometimes used in generative AI to evolve novel solutions to problems.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Explainable AI,"Branch of AI focused on making the decision-making processes of AI systems transparent and understandable to humans. Explainable AI is becoming more important in generative AI models, as people require trust and transparency. For more, see: The importance of ethics.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Extrapolation,The generative AI model’s ability to generate outputs or make predictions for data points that lie outside the range of its training data. F,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Feature extraction,"The process of identifying and isolating significant patterns or attributes in input data. In generative AI, extraction is crucial for understanding and reproducing complex data structures.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Feedforward neural network,A type of neural network where connections between nodes do not form cycles. The architecture is commonly used in simpler generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Fine-tuning,The process of making adjustments to pre-trained models to adapt them to specific tasks.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Fitness function,"In evolutionary algorithms, a fitness function quantitatively evaluates how close a given design solution is to achieving the set aims. In generative AI, this concept can be used to guide the generation process towards desired outcomes.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Forward propagation,"The process in neural networks, including generative models, in which inputs are passed forward through the network layers to generate an output.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Frame generation,"The use of generative AI to create individual frames in video and animation, often for the purpose of creating smooth transitions or filling in missing frames.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Fuzzy logic,"A form of many-valued logic where truth values can be any real number between 0 and 1, representing degrees of truth. In generative AI, it is used to handle imprecise or uncertain information. For more information, check out: A very brief introduction to Fuzzy Logic and Fuzzy Systems G",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
