category,simple_explanation,source
Unsupervised Learning,The Sponge Cake: The main body of the cake; it uses the most ingredients (data) but has no specific flavor yet.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Supervised Learning,The Icing: The specific flavor added on top. It requires precise handling but is smaller in volume than the sponge.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Reinforcement Learning,"The Cherry on Top: The finishing touch that perfects the cake based on feedback, but can't be the whole meal.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Training Data,"The Ingredients: Flour, sugar, eggs. Bad ingredients (bad data) make a bad cake, no matter how good the chef is.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Algorithms,"The Recipe: Step-by-step instructions. If the recipe is wrong, the cake fails even with good ingredients.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Compute,The Oven: You need heat and time to bake the batter. You cannot 'un-bake' it once it's done.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Evaluation,"Tasting: Checking a slice to see if it's good. Averages might look good, but one slice could still be burnt.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Deployment,Selling the Cake: Packaging it and giving it to customers.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Model Weights,Seasoning: Adjusting the amount of sugar or salt until the taste is perfect.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Hyperparameters,Oven Settings: Setting the temperature and timer before you put the cake in.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Foundation Model,"The Engine Block: A powerful V8 engine that can be put into a truck, car, or boat depending on how it's tuned.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Prompt,The Steering Wheel: It directs where the massive engine power should go.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Token,Fuel Drops: The engine processes fuel drop-by-drop to keep running.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Context Window,Windshield View: How much of the road you can see at once. A small windshield means you miss the upcoming turn.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Fine-Tuning,Tuning the Car: Adding a spoiler and turbocharger to a factory car to win a specific race.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
